Title,Date,Source,Company,Link
"네이버, '부정이용탓'에 블로그 보상 행사 3일만에 종료…항의 폭주",2021.05.04.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=429972&year=2021
"""네이버 계정이 이용 제한되었습니다"" 메일은 스팸",2021.05.04.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=432031&year=2021
"네이버 제페토·더 샌드박스, NFT 메타버스 구축 위해 손잡았다",2021.05.04.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=431462&year=2021
"2주 글쓰기에 1만6000원…네이버, 사흘만에 끝낸 사정은?",2021.05.04.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=431533&year=2021
"네이버, 1분기 영업익 2888억원…전년동기 1.0% 감소 [종합]",2021.04.29.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=412069&year=2021
네이버 1분기 성장세 주춤…인건비·스톡옵션 행사 부담,2021.04.29.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=415444&year=2021
"""서울 백신 접종률 몇%일까""…네이버에서 확인하세요",2021.04.28.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=410407&year=2021
"브레이브걸스 측 유나 '오조오억' 논란에 ""악플러 법적대응""[전문]",2021.06.28.,매일경제,네이버,http://star.mk.co.kr/new/view.php?mc=ST&year=2021&no=624337
[플랫폼] 네이버 Na. vs 카카오 지갑…개인화 서비스 한판 붙는다,2021.04.28.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=406919&year=2021
"네이버 웨일 ""3년내 크롬 넘어 국내 1위 목표""",2021.04.27.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=406036&year=2021
네이버 쇼핑 '스마트스토어' 사장님 벌써 45만명,2021.04.26.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=401656&year=2021
"美 상장 검토 네이버웹툰, 개발자 OOO명 채용 나선다",2021.04.22.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=390079&year=2021
"""네이버웹툰 미국 증시 상장 검토"" 직접 밝힌 네이버",2021.04.21.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=383111&year=2021
"""韓 증시는 누가?""…마켓컬리 카카오엔터 이어 네이버웹툰 美 상장 추진",2021.04.21.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=382426&year=2021
"네이버, 3년간 매해 전직원에 1000만원어치 주식 준다",2021.04.19.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=376247&year=2021
"""30만원까지 외상 쇼핑 OK""…네이버페이, 후불결제 시작",2021.04.15.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=363360&year=2021
"디바제시카X에스트라, 네이버 쇼핑 라이브서 동시간대 시청률 1위",2021.04.15.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=361929&year=2021
"[메타버스 ‘비즈니스 신세계’] 메타버스 관련주 전성시대, 매출액·기술력에...",2021.06.30.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=633290&year=2021
"""네이버웹툰 미국 증시 상장 검토"" 직접 밝힌 네이버",2021.04.21.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=383111&year=2021
"""韓 증시는 누가?""…마켓컬리 카카오엔터 이어 네이버웹툰 美 상장 추진",2021.04.21.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=382426&year=2021
"네이버, 3년간 매해 전직원에 1000만원어치 주식 준다",2021.04.19.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=376247&year=2021
"""30만원까지 외상 쇼핑 OK""…네이버페이, 후불결제 시작",2021.04.15.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=363360&year=2021
"디바제시카X에스트라, 네이버 쇼핑 라이브서 동시간대 시청률 1위",2021.04.15.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=361929&year=2021
"[메타버스 ‘비즈니스 신세계’] 메타버스 관련주 전성시대, 매출액·기술력에...",2021.06.30.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=633290&year=2021
"네이버 '네이버쇼핑', 스마트스토어 42만개…거래 폭증",2021.04.14.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=355746&year=2021
"'대출 중개' 네이버, 금융사처럼 규제 받는다",2021.04.13.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=355112&year=2021
메타버스株 자이언트스텝 고공행진,2021.06.30.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=633461&year=2021
"쿠팡 45일? 네이버 다음날 바로 정산…네이버, 로켓배송에 '빠른 정산'으로 맞...",2021.04.08.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=338517&year=2021
"쿠팡 45일? 네이버 다음날 바로 정산…네이버, 로켓배송에 '빠른 정산'으로 맞...",2021.04.08.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=338517&year=2021
"[속보] 네이버, 1분기 영업이익 2888억원…전년 동기보다 1.0% 감소",2021.04.29.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=411845&year=2021
"네이버 크래프톤 ""억대 연봉 줘도 못구하는 개발자 직접 키우겠다""",2021.04.05.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=325626&year=2021
[단독] '웹툰' 이름 네이버만 쓰나…美日이어 韓서도 상표등록,2021.04.05.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=321663&year=2021
"""호기심만 있으면 당신도 개발자""…네이버, 비전공자도 뽑는다",2021.04.04.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=319675&year=2021
"자영업 창업에 몰리는 2030…""네이버 스토어 입점이 목표""",2021.04.25.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=397563&year=2021
"""문과생도 네이버 지원할 수 있다""…신입개발자 900명 모집",2021.04.02.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=316400&year=2021
"당근마켓·네이버, 거래플랫폼 넘어 지역정보 거점으로",2021.04.23.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=394129&year=2021
"""네이버도 당일배송 도입 검토""",2021.04.01.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=313596&year=2021
"네이버의 오픈마켓, 쿠팡식 빠른배송…공동 플랫폼 심는다",2021.03.30.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=303435&year=2021
"네이버의 오픈마켓, 쿠팡식 빠른배송…공동 플랫폼 심는다",2021.03.30.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=303435&year=2021
"네이버, 개발자 900명 뽑는다…IT 구인난에 역대 최대 채용",2021.03.29.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=298505&year=2021
"네이버, 동남아 시장 공략 가속도…印尼 1위 미디어社에 1700억 투자",2021.04.07.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=333946&year=2021
먹통됐던 네이버 서비스들…알고보니 디도스 공격때문,2021.03.25.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=286786&year=2021
[단독] 쇼핑 안해도 年3% 이자…네이버통장 조건 손본다,2021.03.24.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=280466&year=2021
"네이버, 포털 넘어 쇼핑플랫폼으로 진화…소상공인 판로개척 돕는다",2021.03.24.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=277468&year=2021
"5조 실탄 쿠팡 vs 네이버 신세계, 유통전쟁 시작됐다",2021.03.21.,매일경제,네이버,http://premium.mk.co.kr/view.php?no=29880
"동학개미가 좋아한 주식, 네이버·삼성SDI 첫 진입",2021.04.01.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=313713&year=2021
"레드벨벳 슬기, 살바토레 페라가모 ‘글로벌 앰버서더’ 발탁",2021.06.30.,매일경제,네이버,http://star.mk.co.kr/new/view.php?mc=ST&year=2021&no=631340
[빅데이터로 본 재테크] 쿠팡 상장에…국내 1위 '네이버쇼핑' 다시 보는 투자...,2021.03.19.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=261467&year=2021
[MK라씨로] 네이버 목표주가 잇단 상향…최고 54만원,2021.03.18.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=260876&year=2021
"우리은행, 비대면 개인사업자 신용평가모형 도입",2021.06.29.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=627319&year=2021
네이버·엔씨 '연봉 1억원' 시대…업계 최초로 직원 억대 연봉,2021.03.16.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=251532&year=2021
네이버-신세계-CJ '反쿠팡 동맹' 떴다,2021.03.16.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=251212&year=2021
쿠팡 로켓보다 빠르다…네이버 신세계 2500억 '혈맹',2021.03.16.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=251105&year=2021
"레떼아모르, 스토리북 발간 기념 네이버 TV 라이브 방송",2021.03.15.,매일경제,네이버,http://star.mk.co.kr/new/view.php?mc=ST&year=2021&no=246530
"""한국, 우주로 도약하려면…"" 17일 네이버TV 생중계",2021.03.14.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=242136&year=2021
"지놈앤컴퍼니, 마이크로바이옴 화장품 '유이크(UIQ)' 네이버 스마트스토어 오...",2021.03.18.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=258108&year=2021
동맹의 힘으로…네이버 '새 성장동력' 시동,2021.03.09.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=226299&year=2021
"애그테크 엔씽, CFO에 네이버 심사역 영입",2021.03.11.,매일경제,네이버,http://mirakle.mk.co.kr/view.php?year=2021&no=235579
"애그테크 엔씽, CFO에 네이버 심사역 영입",2021.03.11.,매일경제,네이버,http://mirakle.mk.co.kr/view.php?year=2021&no=235579
[산업재편 가속화] Part Ⅱ 주요 그룹 | M&A로 혁신 노리는 한화·현대重·네...,2021.03.05.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=215069&year=2021
네이버-CJ 혈맹 첫 콘텐츠 협업…'네이버+ 멤버십'으로 티빙도 본다,2021.03.04.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=210434&year=2021
쿠팡이 밀고 소프트뱅크가 끌고…네이버 불 붙었다,2021.03.03.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=207007&year=2021
韓 온라인 결제액 1위는 네이버…쿠팡 이베이 뒤이어,2021.03.03.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=206609&year=2021
"네이버, ESG경영 아시아 소프트웨어 업체 2위로",2021.03.03.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=206003&year=2021
"""네이버 쿠팡서 팔았으면, 네이버 쿠팡이 책임져라""…입점업체 잘못도 피해보...",2021.03.07.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=218330&year=2021
"네이버 직원 스톡옵션 첫 행사…""1인당 1900만원 받는다""",2021.03.02.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=200584&year=2021
[기자24시] 네이버가 '파티'를 열지 않은 이유,2021.03.02.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=198011&year=2021
네이버 뉴스·카페·블로그 등 서비스 일시 장애로 10여분간 먹통,2021.03.24.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=281419&year=2021
네이버 뉴스·카페·블로그 등 서비스 일시 장애로 10여분간 먹통,2021.03.24.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=281419&year=2021
[빅데이터로 본 재테크] 차원이 다른 세상 '메타버스' 뜬다…네이버·위지윅 ...,2021.03.12.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=235926&year=2021
"디닥넥, 네이버 쇼핑라이브 8만8000뷰 돌파하며 대세 자세교정용품으로 주목",2021.03.04.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=208420&year=2021
"네이버, LG화학도 제쳤다…삼성전자 SK하이닉스 이어 시총 3위",2021.03.03.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=205323&year=2021
[기자24시] 메타버스 편집국 회의를 연 이유,2021.06.29.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=624708&year=2021
네이버파이낸셜 '빠른정산' 4달새 1조 지급,2021.03.03.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=205605&year=2021
네이버로 탑승수속…대한항공 마일리지도 적립,2021.02.25.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=188258&year=2021
'항공 고객 가치 극대화' 서비스 대변신…대한항공·네이버 손잡았다,2021.02.25.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=186588&year=2021
네이버 라인-日 소뱅 합작법인명 'A홀딩스'로 확정,2021.02.25.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=183768&year=2021
네이버 실검 16년만에 종료…빈 자리엔 '주식차트',2021.02.25.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=184573&year=2021
"""어쩌다 이지경까지""…집값 양극화 12년래 최대",2021.06.29.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=628784&year=2021
성과급 갈등 네이버 25일 임직원 간담회 연다,2021.02.18.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=161255&year=2021
"쿠팡 희소식, 라이벌 네이버도 웃었다",2021.02.15.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=149805&year=2021
[메타버스 ‘비즈니스 신세계’] 315조원 시장 선점할 디지털 전쟁터 ‘메타버...,2021.06.30.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=633157&year=2021
"""단 하루 일한 '경력'도 인정""…초봉 5천만원 네이버 자회사 파격채용",2021.02.08.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=130021&year=2021
美 테이퍼링 시계 째깍째깍…필승 투자 전략은,2021.06.29.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=628114&year=2021
네이버 '실검' 16년만에 사라진다…25일 서비스 종료,2021.02.04.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=119046&year=2021
"현대카드, 네이버플러스 멤버십 카드 선보인다",2021.02.03.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=114436&year=2021
[사설] 네이버 실검 서비스 종료 건전한 뉴스 소비 계기되길,2021.02.08.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=127004&year=2021
